earn,height,sex,race,ed,age
79571.299011024,73.89,male,white,16.0,49.0
96396.9886433106,66.23,female,white,16.0,62.0
48710.666947391,63.77,female,white,16.0,33.0
80478.0961525837,63.22,female,other,16.0,95.0
82089.3454983326,63.08,female,white,17.0,43.0
15313.3529014342,,female,white,15.0,30.0
47104.1718212293,61.54,female,white,12.0,53.0
50960.0542820731,73.29,male,white,17.0,50.0
3212.6495560539,72.24,male,hispanic,15.0,25.0
42996.6378844038,72.4,male,white,12.0,30.0
10328.6188426045,70.22,male,white,16.0,69.0
1002.30715511839,63.15,female,white,14.0,54.0
47597.8198637099,68.11,male,white,11.0,38.0
19019.5422985066,68.08,male,white,12.0,31.0
20063.9966387225,64.86,female,white,12.0,55.0
992.832346303227,60.06,female,white,12.0,31.0
35972.1711232638,66.01,female,white,16.0,39.0
26930.5439643451,68.07,male,white,12.0,62.0
,68.16,female,white,14.0,33.0
69993.6930698179,70.02,male,white,13.0,48.0
1000.21830625211,67.08,female,white,9.0,25.0
12131.8221152514,64.2,female,black,12.0,59.0
84223.3979186057,72.76,male,black,13.0,39.0
8949.47493547637,62.17,female,white,13.0,55.0
,63.04,female,white,14.0,25.0
8750.13918500201,66.67,male,white,14.0,26.0
64593.5998054014,65.95,female,white,12.0,45.0
54079.8149454029,71.69,male,white,12.0,49.0
,62.76,female,black,12.0,39.0
-95.7102792312691,68.46,male,white,11.0,25.0
43938.8576046547,64.07,female,white,16.0,64.0
1004.09561369181,60.0,female,white,12.0,48.0
79478.0468181047,71.97,male,white,16.0,42.0
984.761813301634,68.25,female,white,12.0,59.0
65237.7700476547,76.68,male,white,16.0,37.0
978.872090839732,63.77,female,white,10.0,23.0
24845.4285917486,63.96,female,white,14.0,29.0
40754.1029736281,63.72,female,white,12.0,37.0
,71.92,male,white,17.0,43.0
42933.0122551917,68.12,male,white,17.0,35.0
20088.3114644238,64.48,female,white,12.0,30.0
12924.2239977829,60.94,female,white,14.0,82.0
48693.4797964477,67.19,female,black,14.0,35.0
34383.101849067,65.05,female,white,12.0,61.0
43928.4198331574,64.17,female,white,14.0,30.0
5782.248948451,66.49,female,white,15.0,69.0
40758.5577226173,,female,white,12.0,34.0
39162.8754520925,64.93,female,white,12.0,45.0
51896.846670074,67.02,female,white,18.0,33.0
16905.1408589265,67.49,female,white,17.0,34.0
1000.99111084442,70.03,female,white,12.0,61.0
18497.8538930071,60.61,female,hispanic,12.0,25.0
30740.47803689,64.92,female,white,13.0,36.0
32803.4426895406,62.0,female,white,12.0,33.0
5529.47149841489,72.16,male,white,10.0,22.0
20594.711211041,66.35,male,black,8.0,60.0
39816.5002027645,70.09,male,white,12.0,69.0
33327.5987832144,70.05,male,white,17.0,45.0
55067.7931193718,68.49,female,white,17.0,53.0
10545.4502477035,60.13,female,white,12.0,69.0
26979.2976737281,71.15,male,white,12.0,32.0
55634.1696790621,70.77,male,white,12.0,36.0
6380.09148122974,72.87,male,white,13.0,22.0
23264.3741899011,68.0,female,white,14.0,59.0
16918.2189161501,65.64,female,white,12.0,61.0
39676.2644997822,68.74,male,white,16.0,33.0
994.133503863912,63.02,female,white,8.0,67.0
26420.8322535518,62.8,female,white,14.0,31.0
986.449291094241,65.99,female,black,13.0,34.0
986.993627550926,64.66,female,white,12.0,30.0
25550.7559075621,62.04,male,hispanic,14.0,32.0
27235.2680173859,64.24,female,white,14.0,47.0
7354.05363222349,63.82,female,white,9.0,72.0
7101.32415873714,66.95,female,white,9.0,56.0
35041.7055007873,71.28,male,white,12.0,43.0
1318.87555348029,59.63,female,white,16.0,57.0
42343.3439688464,66.34,female,white,16.0,31.0
4985.24601643037,66.0,female,white,15.0,25.0
28022.6386657665,65.49,female,white,14.0,43.0
13729.6720245917,69.96,female,white,13.0,26.0
991.599966272541,64.79,female,white,13.0,67.0
20074.7729832596,66.35,female,white,13.0,72.0
16901.6558792008,62.09,female,white,12.0,51.0
16899.2184171763,65.83,female,white,15.0,71.0
999.338097135203,63.78,female,white,14.0,42.0
23831.5316537746,71.81,male,white,12.0,43.0
4812.71528146838,67.12,female,hispanic,8.0,43.0
47742.1252747604,68.19,male,hispanic,12.0,36.0
47655.590724269,69.76,male,white,12.0,37.0
16892.6857012084,,female,white,12.0,42.0
8934.46253020389,63.29,female,white,13.0,30.0
20099.9218436585,65.48,female,white,13.0,67.0
32803.3025937337,69.75,female,white,10.0,65.0
32811.8623722485,68.09,female,white,12.0,40.0
31765.8967813837,70.21,male,white,14.0,27.0
1001.00043870299,65.99,female,white,12.0,63.0
2907.2064170387,66.23,female,white,12.0,24.0
2115.67589682381,67.79,female,white,,36.0
31884.9092385098,69.94,male,white,16.0,31.0
16905.0220799872,60.75,female,hispanic,12.0,26.0
48686.3352313777,62.9,female,white,12.0,77.0
64606.3235215003,63.47,female,white,14.0,60.0
39751.1940297085,67.14,male,white,12.0,93.0
16881.7141614142,60.66,female,white,17.0,83.0
96382.8900908101,69.55,female,white,18.0,67.0
986.228613755399,63.46,female,white,12.0,25.0
29618.8251244886,67.83,female,white,12.0,70.0
26500.2429561617,64.39,female,white,12.0,37.0
24854.9727381481,67.01,female,black,14.0,34.0
15885.5195104926,68.79,male,white,17.0,27.0
53463.6223523582,67.05,female,white,13.0,47.0
29627.8222039787,67.83,female,white,12.0,34.0
24843.1748606049,63.03,female,white,12.0,41.0
,70.97,male,white,12.0,26.0
34374.0790977282,63.91,female,black,17.0,47.0
58834.1668506326,68.22,male,white,11.0,41.0
61429.1854058301,68.43,female,white,,48.0
28014.7345560315,65.53,female,hispanic,14.0,47.0
981.65670365787,66.13,female,white,12.0,33.0
996.182111287872,66.31,female,other,16.0,36.0
50924.6583604247,77.12,male,white,16.0,34.0
44729.6150466756,67.17,female,white,12.0,62.0
27223.3656953101,62.11,female,white,12.0,48.0
1007.70988015799,64.5,female,white,17.0,34.0
996.828601796463,71.96,female,white,12.0,55.0
40750.0226434449,67.42,female,white,18.0,39.0
43929.4541868987,61.17,female,white,18.0,47.0
8949.67101572717,63.6,female,white,12.0,32.0
112309.660734072,61.91,female,white,16.0,42.0
8939.55497630854,62.83,female,white,12.0,44.0
7932.57103394049,67.83,male,white,16.0,28.0
32800.8023474806,63.71,female,white,15.0,30.0
,71.36,male,white,15.0,25.0
96383.0764233227,64.0,female,white,16.0,39.0
8967.87647229583,60.96,female,white,13.0,35.0
47691.8764601662,74.21,male,white,12.0,42.0
111283.259406706,70.25,male,white,14.0,39.0
79481.9408160514,71.08,male,white,16.0,45.0
70960.3420883276,62.85,female,white,12.0,43.0
48722.16771983,63.61,female,white,14.0,47.0
997.891112569392,62.03,female,white,16.0,36.0
16912.1555694825,,female,white,16.0,44.0
37573.2990727913,70.15,female,white,17.0,46.0
1005.10722008903,62.1,female,white,12.0,43.0
71548.0876578581,70.76,male,white,17.0,66.0
23878.8111841365,71.04,male,white,14.0,35.0
7344.95757908863,69.86,female,white,14.0,75.0
26877.8701780781,67.02,male,white,14.0,35.0
48708.525626797,64.16,female,white,12.0,36.0
44711.1395351231,67.09,female,white,12.0,34.0
10044.7225146099,62.1,female,white,8.0,73.0
29611.1767650406,61.76,female,hispanic,13.0,60.0
68256.8967140838,67.95,male,black,13.0,48.0
51888.9713088147,62.5,female,black,14.0,48.0
995.46575719133,66.19,female,black,5.0,55.0
16887.1457287969,68.16,female,black,18.0,60.0
95449.6102254534,74.23,male,white,13.0,49.0
34383.7045204962,68.07,female,other,12.0,54.0
4807.83133117883,61.74,female,white,16.0,26.0
2587.63185305423,65.9,female,white,15.0,32.0
,68.18,male,white,12.0,31.0
11485.9945183583,60.18,female,hispanic,14.0,
25447.465302014,67.55,male,white,8.0,47.0
143095.852138569,72.09,male,white,12.0,30.0
13720.5053672839,66.27,female,white,12.0,46.0
31829.2883253981,67.86,male,white,10.0,36.0
